Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year,Daily_Return,Log_Return,Price_Range,Close_to_Open_Change,Average_Price,Lagged_Close,Lagged_Volume,Volume_MA5,Volume_Ratio,Lagged_Return,Rolling_Volatility,Day_of_Week,Week_of_Year,Close_to_High_Ratio,Next_Day_Volatility
1993-02-24,24.330785519659184,24.626441955566406,24.330785519659184,24.626441955566406,26300.0,24,2,8,2,1993,0.012875830073340921,0.012793641320411709,0.29565643590722246,0.29565643590722246,24.527889810264,24.31338691711425,373700.0,265320.0,0.09912558420021107,-0.0007145470970811862,0.005550608250347295,2,8,0.0,0.005110060667022846
1993-02-25,24.609034137040315,24.695991854839043,24.556859506361075,24.678600311279297,44500.0,25,3,8,2,1993,0.0021179817940000234,0.002115742032518643,0.1391323484779683,0.06956617423898237,24.643817224159804,24.626441955566406,26300.0,198600.0,0.22406847935548843,0.012875830073340921,0.005110060667022846,3,8,-0.1250000000000032,0.005275527205273545
1993-02-26,24.73078189879384,24.73078189879384,24.59164951117756,24.7133903503418,66200.0,26,4,8,2,1993,0.0014097249691509273,0.0014087322397806688,0.13913238761627866,-0.017391548452039274,24.678607253437733,24.678600311279297,44500.0,204860.0,0.3231475153763546,0.0021179817940000234,0.005275527205273545,4,8,-0.12500000000003192,0.006073382827747137
1993-03-01,24.80035331473017,24.80035331473017,24.60904624147489,24.643829345703125,66500.0,1,0,9,3,1993,-0.002814709097075152,-0.002818677839712512,0.19130707325528107,-0.15652396902704524,24.684409633969395,24.7133903503418,66200.0,115440.0,0.5760568260568261,0.0014097249691509273,0.006073382827747137,0,9,-0.818181818181803,0.0077200748926443555
1993-03-02,24.66121370636538,25.0090446472168,24.62643061228024,25.0090446472168,182400.0,2,1,9,3,1993,0.014819746411584234,0.014711006980543633,0.38261403493655877,0.34783094085141997,24.88150663557128,24.643829345703125,66500.0,77180.0,2.3633065561026174,-0.002814709097075152,0.0077200748926443555,1,9,0.0,0.006591117065883609
1993-03-03,25.043840910259043,25.130798691197445,25.009057797883685,25.11340713500977,280100.0,3,2,9,3,1993,0.004172989782901704,0.0041643070080766426,0.12174089331375981,0.06956622475072649,25.084421208030296,25.0090446472168,182400.0,127940.0,2.189307487884946,0.014819746411584234,0.006591117065883609,2,9,-0.14285714285710532,0.007883861630189518
1993-03-04,25.148177712740672,25.148177712740672,24.974262237548828,24.974262237548828,89500.0,4,3,9,3,1993,-0.005540661874866237,-0.005556068275998441,0.17391547519184414,-0.17391547519184414,25.032234062612776,25.11340713500977,280100.0,136940.0,0.6535709069665547,0.004172989782901704,0.007883861630189518,3,9,-1.0,0.008232434081102335
1993-03-05,25.009037132369738,25.11338638326975,24.88729633965305,24.904687881469727,40000.0,5,4,9,3,1993,-0.002785842297054808,-0.0027897299776956644,0.22609004361669705,-0.10434925090001101,24.968456868130843,24.974262237548828,89500.0,131700.0,0.30372057706909644,-0.005540661874866237,0.008232434081102335,4,9,-0.9230769230768965,0.01179949723210086
1993-03-08,24.95687811101069,25.46123313903809,24.95687811101069,25.46123313903809,50800.0,8,0,10,3,1993,0.022347007929477414,0.02210097224296478,0.5043550280274012,0.5043550280274012,25.29311479636229,24.904687881469727,40000.0,128560.0,0.3951462352209085,-0.002785842297054808,0.01179949723210086,0,10,0.0,0.01143728457415189
1993-03-09,25.409062132596805,25.426453687786807,25.322104356646783,25.3742790222168,169300.0,9,1,10,3,1993,-0.0034151573235456922,-0.0034210022847535803,0.10434933114002476,-0.0347831103800047,25.374279022216797,25.46123313903809,50800.0,125940.0,1.3442909321899317,0.022347007929477414,0.01143728457415189,1,10,-0.49999999999994893,0.011420125101872866
1993-03-10,25.374276069870728,25.42645072937012,25.269926750871942,25.42645072937012,194400.0,10,2,10,3,1993,0.002056086287521408,0.002053975435011928,0.15652397849817845,0.05217465949939282,25.374276069870728,25.3742790222168,169300.0,108800.0,1.786764705882353,-0.0034151573235456922,0.011420125101872866,2,10,0.0,0.010985149094111786
1993-03-11,25.44382454174864,25.51339070590926,25.322083754467545,25.35686683654785,70900.0,11,3,10,3,1993,-0.0027366734572156215,-0.0027404249940721046,0.19130695144171384,-0.08695770520078838,25.397447098974883,25.42645072937012,194400.0,105080.0,0.6747240197944423,0.002056086287521408,0.010985149094111786,3,10,-0.8181818181818469,0.012408946294612283
1993-03-12,25.148171486329137,25.16556302954237,24.93947296777039,25.095996856689453,643600.0,12,4,10,3,1993,-0.010287942179133758,-0.010341228844759116,0.22609006177198054,-0.052174629639683445,25.06701095133407,25.35686683654785,70900.0,225800.0,2.850310008857396,-0.0027366734572156215,0.012408946294612283,4,10,-0.3076923076923029,0.005800553520007965
