Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-03-01,24.80035331473017,24.80035331473017,24.60904624147489,24.643829345703125,66500,1,0,9,3,1993
1993-03-02,24.66121370636538,25.009044647216797,24.62643061228024,25.009044647216797,182400,2,1,9,3,1993
1993-03-03,25.043840910259043,25.130798691197445,25.009057797883685,25.113407135009766,280100,3,2,9,3,1993
1993-03-04,25.148177712740672,25.148177712740672,24.974262237548828,24.974262237548828,89500,4,3,9,3,1993
1993-03-05,25.009037132369738,25.11338638326975,24.887296339653055,24.904687881469727,40000,5,4,9,3,1993
1993-03-08,24.956878111010695,25.46123313903809,24.956878111010695,25.461233139038086,50800,8,0,10,3,1993
1993-03-09,25.409062132596805,25.426453687786807,25.322104356646783,25.374279022216797,169300,9,1,10,3,1993
1993-03-10,25.374276069870728,25.426450729370117,25.269926750871946,25.426450729370117,194400,10,2,10,3,1993
1993-03-11,25.443824541748633,25.51339070590926,25.322083754467542,25.35686683654785,70900,11,3,10,3,1993
1993-03-12,25.148171486329137,25.165563029542366,24.93947296777039,25.095996856689453,643600,12,4,10,3,1993
1993-03-15,25.078616235667262,25.217748641967773,25.078616235667262,25.217748641967773,310800,15,0,11,3,1993
1993-03-16,25.217748641967773,25.28731484511803,25.217748641967773,25.217748641967773,30800,16,1,11,3,1993
1993-03-17,25.18295908602967,25.18295908602967,25.026435169058487,25.06121826171875,21800,17,2,11,3,1993
1993-03-18,25.165573989605083,25.322097946693155,25.165573989605083,25.217748641967773,59300,18,3,11,3,1993
1993-03-19,25.319372089764542,25.319372089764542,25.179582595825195,25.179582595825195,66900,19,4,11,3,1993
1993-03-22,24.934948995075107,25.09221216322905,24.91747530972467,25.039791107177734,183400,22,0,12,3,1993
1993-03-23,25.109684454033303,25.127158138413282,25.05726340089336,25.09221076965332,55200,23,1,12,3,1993
1993-03-24,25.05726340089336,25.19705287593321,24.934947610233486,25.09221076965332,37200,24,2,12,3,1993
1993-03-25,25.1096840987156,25.301894624175496,25.074736730450166,25.249473571777344,110100,25,3,12,3,1993
1993-03-26,25.231997862240465,25.24947154497055,25.092208400399798,25.109682083129883,101500,26,4,12,3,1993
1993-03-29,25.127166309211294,25.336850589955755,25.127166309211294,25.214534759521484,87100,29,0,13,3,1993
1993-03-30,25.2494821700048,25.284429550170895,25.2145347898387,25.2844295501709,56000,30,1,13,3,1993
1993-03-31,25.354313297720203,25.424208027693243,25.266944885253903,25.266944885253906,111600,31,2,13,3,1993
1993-04-01,25.301898403022125,25.301898403022125,25.12716153559794,25.179582595825195,129500,1,3,13,4,1993
1993-04-02,24.969902852340258,24.969902852340258,24.655376434326172,24.655376434326172,59400,2,4,13,4,1993
1993-04-05,24.847576079482923,24.847576079482923,24.70778662193309,24.777681350708008,172200,5,0,14,4,1993
1993-04-06,24.8301100022722,24.8301100022722,24.637899439270797,24.707794189453125,129700,6,1,14,4,1993
1993-04-07,24.74274684914071,24.795167922973633,24.690325775307784,24.795167922973633,28000,7,2,14,4,1993
1993-04-08,24.90001485309049,24.90001485309049,24.655383128218023,24.760225296020508,180800,8,3,14,4,1993
1993-04-12,25.00483998674938,25.127155765859964,24.969892621289215,25.109682083129883,348500,12,0,15,4,1993
1993-04-13,25.092216528786555,25.249479724301235,25.074742840396034,25.162111282348633,146100,13,1,15,4,1993
1993-04-14,25.179583996492898,25.19705768420733,25.10968924563518,25.12716293334961,119600,14,2,15,4,1993
1993-04-15,25.10968924563518,25.179583996492898,25.022320807063032,25.12716293334961,148600,15,3,15,4,1993
1993-04-16,25.14463662106404,25.179583996492898,25.092215557920753,25.12716293334961,47900,16,4,15,4,1993
1993-04-19,25.12716957710309,25.197064346441344,25.004853730761138,25.022327423095703,157000,19,0,16,4,1993
1993-04-20,24.98736612420333,25.022313489412007,24.7427345677426,24.89999771118164,279500,20,1,16,4,1993
1993-04-21,24.952430698309055,24.952430698309055,24.812641170587433,24.882535934448242,67900,21,2,16,4,1993
1993-04-22,24.777692705265657,24.987376987679756,24.568008422851562,24.568008422851562,97700,22,3,16,4,1993
