residuals,y_pred
-371200.0,34702800.0
-22815424.0,54376424.0
21437232.0,154681568.0
-620656.0,2592556.0
-66647524.0,187223424.0
-547959.3125,773359.3125
-94924096.0,255338496.0
25366344.0,80932856.0
117318.921875,165781.078125
8408082.0,16795918.0
238655568.0,385440032.0
1202793.0,16037107.0
12179200.0,70995200.0
54610740.0,226934160.0
7742384.0,51412016.0
-50121064.0,160505264.0
-21483360.0,68480160.0
79815788.0,165430512.0
-5363708.0,9370208.0
-18714336.0,77332736.0
-153164.0,99036864.0
-36347392.0,112164992.0
-811526.0,5022326.0
1237084.0,195272016.0
-1271512.0,91110312.0
950748.28125,-317748.28125
-73759.46875,275359.46875
2198888.0,48041512.0
165224.0,37727376.0
-397852.0,37624652.0
-11374432.0,67688032.0
43880184.0,163719616.0
3978668.0,35650232.0
-160751.75,1758551.75
369137.796875,-189237.796875
-18305748.0,83775448.0
-15974012.0,67212912.0
-1774653.0,9044753.0
265823.0,6182277.0
-13319260.0,67231960.0
-2101781.5,6457281.5
5910451.5,1438148.5
-19699392.0,47056692.0
-15838720.0,277344320.0
29546756.0,75563944.0
13191544.0,48224056.0
4822936.0,68817864.0
-603793.625,636193.625
490666.0625,1040333.9375
-6685500.0,53855500.0
1767232.0,35996768.0
-142774892.0,256865792.0
57534472.0,62945028.0
38015252.0,68637648.0
-10211892.0,52326492.0
5511616.0,36603284.0
10715464.0,62083936.0
-29662400.0,115907400.0
645578.0,9972522.0
89858316.0,145501984.0
-15533788.0,90374088.0
-8187820.0,52621120.0
12885632.0,276695968.0
-7414596.0,58466396.0
36024.875,739475.125
647930.0,11292870.0
36401892.0,146276608.0
-9643184.0,81320384.0
-18857588.0,50711888.0
-476548.5,784148.5
-762788.75,1217388.75
-5529108.0,33186108.0
84262876.0,139379424.0
-57833376.0,220164576.0
-57301708.0,146685008.0
-16222172.0,75918872.0
-712744.5,1070944.5
6711352.0,55876848.0
3073824.0,52778076.0
-5401964.0,40917164.0
-3244234.0,5077034.0
-21697556.0,68793856.0
-4216704.0,59886404.0
6408832.0,120254168.0
