open,high,low,close,volume,vwap,timestamp,pre_market,market,after_market,date,time,time_diff
560.98,561.0,560.63,560.66,5674.0,540.1513681123977,2025-05-02 04:00:00-04:00,1.0,0.0,0.0,2025-05-02,04:00:00,485.0
561.03,561.03,560.43,560.95,10180.0,540.1516854651148,2025-05-02 04:05:00-04:00,1.0,0.0,0.0,2025-05-02,04:05:00,4.0
561.12,561.21,560.89,561.06,5208.0,540.1518486749344,2025-05-02 04:10:00-04:00,1.0,0.0,0.0,2025-05-02,04:10:00,6.0
561.35,561.35,561.26,561.26,741.0,540.1518721185294,2025-05-02 04:15:00-04:00,1.0,0.0,0.0,2025-05-02,04:15:00,3.0
561.27,561.27,560.87,561.11,3189.0,540.1519722938477,2025-05-02 04:20:00-04:00,1.0,0.0,0.0,2025-05-02,04:20:00,6.0
561.4,561.43,561.39,561.43,2247.0,540.1520439554816,2025-05-02 04:25:00-04:00,1.0,0.0,0.0,2025-05-02,04:25:00,5.0
561.4,561.52,561.36,561.52,1763.0,540.1521004188016,2025-05-02 04:30:00-04:00,1.0,0.0,0.0,2025-05-02,04:30:00,5.0
561.44,561.61,561.41,561.58,1813.0,540.152158646194,2025-05-02 04:35:00-04:00,1.0,0.0,0.0,2025-05-02,04:35:00,6.0
561.74,561.74,561.15,561.15,2995.0,540.1522529044638,2025-05-02 04:40:00-04:00,1.0,0.0,0.0,2025-05-02,04:40:00,5.0
561.05,561.31,560.8,560.8,3834.0,540.1523715551547,2025-05-02 04:45:00-04:00,1.0,0.0,0.0,2025-05-02,04:45:00,5.0
560.77,560.8,560.28,560.42,12236.0,540.1527432443429,2025-05-02 04:50:00-04:00,1.0,0.0,0.0,2025-05-02,04:50:00,5.0
560.0,560.0,559.79,559.79,4977.0,540.1528897258319,2025-05-02 04:55:00-04:00,1.0,0.0,0.0,2025-05-02,04:55:00,4.0
559.65,559.81,559.58,559.66,6501.0,540.153079791274,2025-05-02 05:00:00-04:00,1.0,0.0,0.0,2025-05-02,05:00:00,6.0
559.45,560.28,559.4,560.25,5289.0,540.1532390963769,2025-05-02 05:05:00-04:00,1.0,0.0,0.0,2025-05-02,05:05:00,5.0
560.29,560.35,560.29,560.35,2204.0,540.1533058106091,2025-05-02 05:10:00-04:00,1.0,0.0,0.0,2025-05-02,05:10:00,4.0
560.45,560.64,560.45,560.64,667.0,540.153326290256,2025-05-02 05:15:00-04:00,1.0,0.0,0.0,2025-05-02,05:15:00,6.0
560.69,560.69,560.23,560.23,1803.0,540.1533805416694,2025-05-02 05:20:00-04:00,1.0,0.0,0.0,2025-05-02,05:20:00,5.0
560.37,560.44,560.37,560.44,477.0,540.1533950444515,2025-05-02 05:25:00-04:00,1.0,0.0,0.0,2025-05-02,05:25:00,4.0
560.33,560.39,560.25,560.26,2784.0,540.153478938166,2025-05-02 05:30:00-04:00,1.0,0.0,0.0,2025-05-02,05:30:00,6.0
560.6,560.78,560.58,560.72,8481.0,540.1537403491461,2025-05-02 05:40:00-04:00,1.0,0.0,0.0,2025-05-02,05:40:00,10.0
560.73,561.09,560.73,561.09,1322.0,540.1537818298023,2025-05-02 05:45:00-04:00,1.0,0.0,0.0,2025-05-02,05:45:00,5.0
561.0,561.2,560.69,560.69,2621.0,540.1538624977209,2025-05-02 05:50:00-04:00,1.0,0.0,0.0,2025-05-02,05:50:00,5.0
560.9,560.9,560.9,560.9,191.0,540.1538684363179,2025-05-02 05:55:00-04:00,1.0,0.0,0.0,2025-05-02,05:55:00,2.0
560.73,560.73,560.73,560.73,378.0,540.1538800928273,2025-05-02 06:00:00-04:00,1.0,0.0,0.0,2025-05-02,06:00:00,4.0
560.85,561.13,560.85,561.0,3015.0,540.1539742869003,2025-05-02 06:05:00-04:00,1.0,0.0,0.0,2025-05-02,06:05:00,9.0
561.06,561.06,561.03,561.03,974.0,540.154004760038,2025-05-02 06:10:00-04:00,1.0,0.0,0.0,2025-05-02,06:10:00,4.0
561.29,561.3,561.18,561.2,2113.0,540.1540714066357,2025-05-02 06:15:00-04:00,1.0,0.0,0.0,2025-05-02,06:15:00,6.0
561.15,561.15,561.03,561.04,932.0,540.1541005794356,2025-05-02 06:20:00-04:00,1.0,0.0,0.0,2025-05-02,06:20:00,2.0
560.96,561.1,560.93,561.0,15727.0,540.1545918997276,2025-05-02 06:25:00-04:00,1.0,0.0,0.0,2025-05-02,06:25:00,6.0
561.25,561.4,561.15,561.4,3073.0,540.1546897413881,2025-05-02 06:30:00-04:00,1.0,0.0,0.0,2025-05-02,06:30:00,7.0
561.38,561.39,560.84,560.86,3049.0,540.1547843505856,2025-05-02 06:35:00-04:00,1.0,0.0,0.0,2025-05-02,06:35:00,5.0
560.82,560.91,560.75,560.89,2298.0,540.1548557593103,2025-05-02 06:40:00-04:00,1.0,0.0,0.0,2025-05-02,06:40:00,5.0
560.79,561.0,560.66,560.93,17744.0,540.1554081886351,2025-05-02 06:45:00-04:00,1.0,0.0,0.0,2025-05-02,06:45:00,5.0
560.95,561.05,560.86,560.88,9789.0,540.1557122064904,2025-05-02 06:50:00-04:00,1.0,0.0,0.0,2025-05-02,06:50:00,5.0
560.96,560.99,560.85,560.99,2168.0,540.1557798944314,2025-05-02 06:55:00-04:00,1.0,0.0,0.0,2025-05-02,06:55:00,5.0
561.0,561.22,560.85,561.19,11744.0,540.1561500703642,2025-05-02 07:00:00-04:00,1.0,0.0,0.0,2025-05-02,07:00:00,5.0
561.11,561.16,560.78,560.86,18667.0,540.1567292045651,2025-05-02 07:05:00-04:00,1.0,0.0,0.0,2025-05-02,07:05:00,5.0
560.84,561.02,560.79,561.02,14499.0,540.1571824825053,2025-05-02 07:10:00-04:00,1.0,0.0,0.0,2025-05-02,07:10:00,5.0
561.02,561.38,561.02,561.36,10174.0,540.1575057208148,2025-05-02 07:15:00-04:00,1.0,0.0,0.0,2025-05-02,07:15:00,5.0
