Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Datetime,,,,,
2025-04-11 14:07:00+00:00,527.6400146484375,527.9600219726562,525.719970703125,525.719970703125,0
2025-04-11 14:08:00+00:00,526.8300170898438,528.4299926757812,526.77001953125,527.7000122070312,298168
2025-04-11 14:09:00+00:00,527.1900024414062,527.5499877929688,526.2899780273438,526.8599853515625,200337
2025-04-11 14:10:00+00:00,527.2000122070312,527.8699951171875,527.02001953125,527.239990234375,157076
2025-04-11 14:11:00+00:00,525.4400024414062,527.239990234375,524.8099975585938,527.239990234375,224376
2025-04-11 14:12:00+00:00,524.989990234375,525.5700073242188,524.3499755859375,525.4600219726562,204582
2025-04-11 14:13:00+00:00,525.840576171875,526.5599975585938,524.72998046875,524.989990234375,0
2025-04-11 14:14:00+00:00,526.3150024414062,526.3150024414062,526.3150024414062,526.3150024414062,183013
2025-04-11 14:15:00+00:00,527.3599853515625,527.4500122070312,525.8187866210938,526.3200073242188,203451
2025-04-11 14:16:00+00:00,526.2100219726562,527.636474609375,525.8200073242188,527.4000244140625,164204
2025-04-11 14:17:00+00:00,524.8800048828125,526.3099975585938,524.72998046875,526.239990234375,132131
2025-04-11 14:18:00+00:00,524.4299926757812,525.7100219726562,524.4299926757812,525.0189819335938,169882
2025-04-11 14:19:00+00:00,523.5650024414062,524.75,523.3099975585938,524.469970703125,337317
2025-04-11 14:20:00+00:00,522.6599731445312,523.8800048828125,522.6199951171875,523.5499877929688,270497
2025-04-11 14:21:00+00:00,522.510009765625,522.8250122070312,521.7349853515625,522.6500244140625,443310
2025-04-11 14:22:00+00:00,521.4199829101562,522.728515625,521.4199829101562,522.47998046875,403753
2025-04-11 14:23:00+00:00,520.75,521.5700073242188,520.0700073242188,521.4299926757812,360063
2025-04-11 14:24:00+00:00,522.0,522.1815185546875,520.739990234375,522.0,268608
2025-04-11 14:25:00+00:00,522.3699951171875,522.5349731445312,521.6500244140625,522.0,251705
2025-04-11 14:26:00+00:00,521.2000122070312,522.4299926757812,521.1599731445312,522.3699951171875,204732
2025-04-11 14:27:00+00:00,521.6599731445312,522.2100219726562,520.969970703125,521.6599731445312,160873
