timestamp,close,high,low,open,volume,vwap
2025-04-15 09:30:00-04:00,539.73,540.12,539.44,539.675,2092440,539.72998046875
2025-04-15 09:31:00-04:00,539.76,540.21,539.52,539.73,257083,539.7332662513231
2025-04-15 09:32:00-04:00,540.55,540.84,539.72,539.76,272983,539.8182807743034
2025-04-15 09:33:00-04:00,539.71,540.81,539.67,540.48,194069,539.8108214744883
2025-04-15 09:34:00-04:00,540.265,540.36,539.249,539.6209,200647,539.8410255820327
2025-04-15 09:35:00-04:00,539.605,540.29,539.5,540.26,163341,539.8289032487072
2025-04-15 09:36:00-04:00,539.83,540.54,539.575,539.575,96527,539.8289360570046
2025-04-15 09:37:00-04:00,540.6102,540.69,539.69,539.83,119269,539.8563725225611
2025-04-15 09:38:00-04:00,540.98,540.99,540.4015,540.65,143969,539.9020645353929
2025-04-15 09:39:00-04:00,541.44,541.62,540.98,541.0,451269,540.0759357205122
2025-04-15 09:40:00-04:00,541.4839,541.77,541.37,541.45,330210,540.1835109776044
2025-04-15 09:41:00-04:00,541.53,541.9,541.22,541.5,181805,540.2378681831175
2025-04-15 09:42:00-04:00,542.08,542.22,541.31,541.47,169271,540.3045983767882
2025-04-15 09:43:00-04:00,541.54,542.18,541.5,542.1,138553,540.3401731109681
2025-04-15 09:44:00-04:00,541.7759,541.7927,541.23,541.55,138789,540.3804258614231
2025-04-15 09:45:00-04:00,541.29,541.84,541.09,541.8,180370,540.4124018650186
2025-04-15 09:46:00-04:00,541.69,541.86,541.01,541.31,153465,540.4495072295405
2025-04-15 09:47:00-04:00,541.85,541.99,541.641,541.65,128429,540.4827379207334
2025-04-15 09:48:00-04:00,542.31,542.36,541.92,542.31,123062,540.523360114541
2025-04-15 09:49:00-04:00,542.11,542.41,542.03,542.37,127768,540.5591553669864
2025-04-15 09:50:00-04:00,542.2,542.24,541.89,542.14,113874,540.5914982248074
2025-04-15 09:51:00-04:00,542.5114,542.64,542.01,542.16,163477,540.6443309863605
2025-04-15 09:52:00-04:00,542.41,542.9499,542.15,542.57,188482,540.6986275293825
2025-04-15 09:53:00-04:00,542.51,542.6,542.22,542.42,130078,540.7362712936356
2025-04-15 09:54:00-04:00,542.45,542.59,542.32,542.53,185518,540.7856029023767
2025-04-15 09:55:00-04:00,542.64,542.64,542.1,542.47,190727,540.8389052490951
2025-04-15 09:56:00-04:00,542.1651,542.64,541.97,542.64,113896,540.8612848587612
